"195","Normale","RUE KALTACHT (CITE KALTACHT, RUE SCHAFSTRACHEN)","10:30","74478.9556105265, 76111.7982574406","14"
"203","Normale","277, ROUTE D'ARLON","12:30","72539.67850000037, 76275.15399954448","14"
"204","Normale","71, RUE DES ROMAINS","08:30","72885.92650000006, 76026.95649954602","14"
"205","Normale","96, RUE DU KIEM","08:30","74116.55599999985, 75706.79089954567","14"
"206","Normale","RUE DU PLEBISCITE","08:30","73447.530375, 75774.5588295455","14"
"207","Normale","RUE RAOUL FOLLEREAU (COIN ROUTE D'ARLON, RUE RAOUL FOLLEREAU)","11:00","72051.5844918918, 76158.0980373835","14"
"208","Normale","VAL DES ROSES (VAL DES ROSES, RUE DE LA VALLEE)","08:30","73658.0163375, 76155.7209495452","14"
"209","Normale","23-25, RUE DU BOIS","10:00","72880.00399999972, 76456.0949995463","14"
"210","Normale","RUE MAESHIEL","08:30","83837.5292555555, 69726.5458717653","15"
"214","Normale","94, ROUTE DE DIEKIRCH","09:00","77565.53859999962, 81195.42339954732","9"
"218","Normale","1, FOND ST. MARTIN","10:30","77978.5811322222, 77082.0024017681","5"
"219","Normale","1, RUE ALY DUHR (MAISON LEY)","08:30","98259.62760000027, 77052.32989954633","16"
"220","Normale","RUE DE LUXEMBOURG (ECOLE)","08:00","83378.7028500001, 87309.3253370495","17"
"221","Normale","HEESCHBREGERWEE (ARRET BUS)","08:15","91539.2757555557, 90751.34058844","18"
"222","Normale","RUE VICTOR HUGO","11:00","86433.8851071429, 64007.8758852556","19"
"223","Normale","OP LAANGERT","09:00","84111.640667647, 64794.4209348357","20"
"224","Normale","KIERFECHSTROOSS","08:30","83882.3342032258, 65280.1506640579","20"
"225","Normale","29, PEITER VUN UESPELT STROOSS","10:30","84001.24710000024, 65488.29299954006","20"
"226","Normale","RUE DE LUXEMBOURG (DEPOT COMMUNAL)","08:30","90638.9285714286, 68853.2193158696","21"
"227","Normale","1, RUE KUMMEL","08:00","88829.55520000031, 100049.9637995537","22"
"228","Normale","101, GRAND-RUE","09:00","88665.19830000028, 100920.16919955403","22"
"229","Normale","89, GRAND-RUE","09:00","88662.95160000026, 100802.74099955481","22"
"230","Normale","ROUTE D'EPPELDORF","10:00","87942.4972707865, 101172.559009667","22"
"232","Normale","IEWESCHTGAASS","09:00","93948.8050928571, 90904.4033709798","23"
"233","Normale","8, KONSDREFERSTROOSS","09:00","93797.60790000025, 90949.48219955107","23"
"234","Normale","RUE DE REMICH (ADMINSTRATION COMMUNALE)","09:00","93526.9201142857, 66706.3353281134","24"
"235","Normale","ROUTE DU VIN (DEPOT SAPEURS POMPIERS)","08:30","93493.6147510204, 66208.9162495419","24"
"236","Normale","10, RUE NEUVE","08:30","89373.34980000005, 88134.82159954993","25"
"237","Normale","22, DUERFSTROOSS","09:00","96177.49000000022, 88758.76179954963","26"
"238","Normale","13, DUERFSTROOSS","10:00","96243.8669999996, 88680.85019954905","26"
"239","Normale","53, RUE D'ECHTERNACH","08:00","93308.75, 98844.34219955394","27"
"240","Normale","47, UM WUES (CIMETIERE)","08:00","92860.54499999995, 98994.83459955412","27"
